node,community,cent_degree,cent_betweenness,cent_closeness,cent_pagerank
R_0,0,0.0127,0.0003,0.0521,0.0007
R_1,13,0.0127,0.001,0.0399,0.0007
R_10,2,0.0113,0.0067,0.0514,0.0007
R_100,1,0.0133,0.0006,0.0558,0.0007
R_1000,4,0.0107,0.0044,0.066,0.0006
R_1001,2,0.014,0.003,0.0513,0.0008
R_1002,5,0.0113,0.0006,0.0545,0.0007
R_1003,6,0.0133,0.0033,0.063,0.0007
R_1004,8,0.012,0.0005,0.0569,0.0007
R_1005,8,0.0113,0.0034,0.0644,0.0006
R_1006,9,0.0127,0.0017,0.0636,0.0007
R_1007,10,0.012,0.0002,0.0608,0.0006
R_1008,11,0.01,0.002,0.0394,0.0006
R_1009,8,0.012,0.0001,0.0533,0.0007
R_101,1,0.014,0.0018,0.0561,0.0007
R_1010,2,0.0113,0.1049,0.0554,0.0007
R_1011,9,0.012,0.0534,0.0696,0.0007
R_1012,12,0.01,0.1448,0.0513,0.0006
R_1013,4,0.014,0.0011,0.0647,0.0007
R_1014,8,0.0127,0.0021,0.0593,0.0007
R_1015,14,0.0113,0.0038,0.0664,0.0006
R_1016,5,0.0113,0.0013,0.0582,0.0006
R_1017,6,0.0127,0.0005,0.0613,0.0007
R_1018,4,0.0127,0.0041,0.0654,0.0007
R_1019,5,0.0113,0.0011,0.0582,0.0006
R_102,16,0.0107,0.0016,0.0494,0.0006
R_1020,6,0.012,0.0001,0.0606,0.0007
R_1021,6,0.0133,0.0063,0.0668,0.0007
R_1022,6,0.012,0.001,0.0598,0.0007
R_1023,8,0.0127,0.0088,0.0596,0.0007
R_1024,12,0.0113,0.0003,0.0444,0.0006
R_1025,2,0.01,0.0058,0.0497,0.0006
R_1026,6,0.0107,0.003,0.0644,0.0006
R_1027,2,0.0127,0.0003,0.051,0.0007
R_1028,8,0.012,0.0025,0.0579,0.0007
R_1029,14,0.0107,0.0045,0.0615,0.0006
R_103,1,0.0133,0.0009,0.061,0.0007
R_1030,6,0.0107,0.0167,0.0597,0.0006
R_1031,6,0.014,0.0256,0.0594,0.0008
R_1032,8,0.014,0.0007,0.0548,0.0007
R_1033,4,0.0113,0.4042,0.0678,0.0006
R_1034,5,0.01,0.0006,0.0548,0.0006
R_1035,11,0.0107,0.0,0.0343,0.0006
R_1036,12,0.0127,0.0242,0.0445,0.0007
R_1037,6,0.0107,0.0018,0.0617,0.0006
R_1038,4,0.01,0.0048,0.0645,0.0006
R_1039,8,0.0113,0.0006,0.0579,0.0006
R_104,3,0.012,0.0006,0.0425,0.0007
R_1040,11,0.0133,0.0001,0.0355,0.0007
R_1041,12,0.0127,0.0007,0.0413,0.0007
